picture_id,mid_year,cluster_id,cluster_rank
16709,1870,44,1
16709,1870,107,2
16709,1870,55,3
16709,1870,90,4
16708,1880,12,1
16708,1880,96,2
16708,1880,74,3
16708,1880,2,4
2005481143,1850,61,1
2005481143,1850,31,2
2005481143,1850,106,3
2005481143,1850,74,4
24146,1883,90,1
24146,1883,44,2
24146,1883,8,3
24146,1883,107,4
24143,1883,78,1
24143,1883,94,2
24143,1883,32,3
24143,1883,6,4
24140,1883,72,1
24140,1883,73,2
24140,1883,32,3
24140,1883,90,4
10517,1901,73,1
10517,1901,90,2
10517,1901,107,3
10517,1901,99,4
24149,1883,85,1
24149,1883,36,2
24149,1883,44,3
24149,1883,73,4
11404,1894,57,1
11404,1894,50,2
11404,1894,51,3
11404,1894,63,4
11840,1830,94,1
11840,1830,88,2
11840,1830,13,3
11840,1830,0,4
331692,1824,101,1
331692,1824,21,2
331692,1824,103,3
331692,1824,79,4
331690,1826,92,1
331690,1826,73,2
331690,1826,79,3
331690,1826,11,4
2006961882,1847,38,1
2006961882,1847,99,2
2006961882,1847,63,3
2006961882,1847,50,4
7566,1904,58,1
7566,1904,109,2
7566,1904,2,3
7566,1904,12,4
7568,1897,69,1
7568,1897,11,2
7568,1897,100,3
7568,1897,5,4
2006965614,1850,107,1
2006965614,1850,73,2
2006965614,1850,64,3
2006965614,1850,43,4
2005481929,1905,98,1
2005481929,1905,27,2
2005481929,1905,0,3
2005481929,1905,16,4
1679,1911,7,1
1679,1911,95,2
1679,1911,12,3
1679,1911,6,4
1675,1867,34,1
1675,1867,67,2
1675,1867,35,3
1675,1867,14,4
2005481018,1850,41,1
2005481018,1850,29,2
2005481018,1850,13,3
2005481018,1850,55,4
2006847216,1815,61,1
2006847216,1815,11,2
2006847216,1815,109,3
2006847216,1815,68,4
322679,1834,62,1
322679,1834,105,2
322679,1834,81,3
322679,1834,42,4
5058,1827,23,1
5058,1827,79,2
5058,1827,5,3
5058,1827,11,4
5059,1841,108,1
5059,1841,22,2
5059,1841,45,3
5059,1841,19,4
5056,1820,36,1
5056,1820,52,2
5056,1820,87,3
5056,1820,47,4
5057,1827,53,1
5057,1827,3,2
5057,1827,23,3
5057,1827,5,4
320290,1829,69,1
320290,1829,5,2
320290,1829,79,3
320290,1829,103,4
300747,1786,28,1
300747,1786,97,2
300747,1786,109,3
300747,1786,11,4
1673,1867,15,1
1673,1867,12,2
1673,1867,14,3
